id;file;channel;mean;deviation;3rd;uniformity;entropy;4th
126;database/benigno/benigno (6).tif;gray;122.801;61.344;209198.910;0.012;6.884;32305338.284
127;database/benigno/benigno (7).tif;gray;92.914;15.470;-1511.947;0.019;5.951;170482.995
128;database/benigno/benigno (8).tif;gray;116.540;50.162;93578.926;0.007;7.456;17104709.605
129;database/benigno/benigno (9).tif;gray;94.136;18.409;-1504.236;0.016;6.220;384451.218
130;database/benigno/benigno (10).tif;gray;160.062;26.851;1434.580;0.013;6.666;2572693.591
131;database/benigno/benigno (11).tif;gray;150.187;39.000;3216.620;0.007;7.283;6188433.008
132;database/benigno/benigno (12).tif;gray;123.866;55.659;171929.749;0.010;7.028;27146969.356
133;database/benigno/benigno (13).tif;gray;166.240;37.682;-18402.340;0.007;7.236;5800633.802
134;database/benigno/benigno (14).tif;gray;121.376;48.610;77517.885;0.007;7.462;15736842.717
135;database/benigno/benigno (15).tif;gray;145.928;38.780;28306.778;0.008;7.225;6108367.013
136;database/benigno/benigno (16).tif;gray;140.164;47.094;12301.053;0.006;7.501;13172756.960
137;database/benigno/benigno (17).tif;gray;138.184;68.021;110842.546;0.012;7.098;31544780.003
138;database/benigno/benigno (18).tif;gray;139.465;37.800;18929.222;0.008;7.209;5751194.667
139;database/benigno/benigno (19).tif;gray;97.581;28.841;27955.956;0.012;6.749;3856920.211
140;database/benigno/benigno (20).tif;gray;107.495;24.962;4957.747;0.015;6.524;1871198.881
141;database/maligno/maligno (1).tif;gray;58.985;34.592;84076.243;0.013;6.670;11803990.251
142;database/maligno/maligno (2).tif;gray;66.832;45.701;196349.730;0.011;6.856;31714136.760
143;database/maligno/maligno (3).tif;gray;73.945;38.886;115950.112;0.010;6.872;18345787.651
144;database/maligno/maligno (4).tif;gray;65.958;29.921;47533.997;0.013;6.602;5925220.524
145;database/maligno/maligno (5).tif;gray;114.842;58.348;181390.911;0.008;7.330;31744307.469
146;database/maligno/maligno (6).tif;gray;68.105;31.879;46534.715;0.011;6.807;6571626.799
147;database/maligno/maligno (7).tif;gray;56.014;35.711;86397.278;0.013;6.717;11591481.539
