id,file,channel,mean,deviation,3rd,uniformity,entropy,4th
17,benigno/benigno (17).tif,red,189.56031111111102,46.7976358176931,-40917.60146166523,0.010657655308641975,7.088090671427881,10979247.839034589
18,benigno/benigno (18).tif,red,189.30626666666672,33.347591961306264,-29957.507325104372,0.009567458765432104,6.990436953539414,5300003.408829606
19,benigno/benigno (19).tif,red,177.54719999999995,34.613868045176474,-18166.322477478367,0.00859509728395062,7.108093110613972,4684619.515751559
20,benigno/benigno (20).tif,red,168.24746666666664,30.504847050628243,-32525.118411045805,0.013872608395061735,6.693833071752684,4138136.1119408025
21,maligno/maligno (1).tif,red,97.59911111111121,41.40502384022834,71702.3680071092,0.008074453333333328,7.2101016145277095,10935156.992356148
22,maligno/maligno (2).tif,red,113.19022222222226,50.445285584763994,97871.90322373007,0.006357167407407413,7.4856685513758014,18771310.51263357
23,maligno/maligno (3).tif,red,110.00831111111111,42.26912161420607,61684.49832306223,0.007306615308641976,7.285351939906803,12108592.322015854
24,maligno/maligno (4).tif,red,90.79653333333334,34.3244302564029,45517.392729104206,0.009794496790123454,6.947988548190048,6136492.78469769
25,maligno/maligno (5).tif,red,127.86355555555562,56.89835503013952,126311.1074306552,0.006784043456790124,7.438499683792296,25677690.056850232
26,maligno/maligno (6).tif,red,92.26146666666669,37.66611255734023,47544.46837888196,0.008149586172839512,7.147687982510558,8013137.780347934
27,maligno/maligno (7).tif,red,92.35404444444445,43.698117773833246,82889.5632513482,0.00763387259259259,7.294758688099739,13303028.8170554
28,maligno/maligno (8).tif,red,100.57626666666671,64.95702446879783,301475.7673980167,0.009143861728395071,7.19215587380909,50257188.694660455
29,maligno/maligno (9).tif,red,119.11688888888891,50.146188326275805,55589.795860419625,0.005817517037037039,7.555546196195993,16306718.084299032
30,maligno/maligno (10).tif,red,118.75546666666669,65.44359422946687,215552.6042048153,0.007036503703703716,7.433817247037482,41199852.11305376
31,maligno/maligno (11).tif,red,118.88777777777776,44.114922463386655,56918.1037403486,0.006785362962962966,7.406574171699704,11854735.44355564
32,maligno/maligno (12).tif,red,103.25444444444443,38.32945737248488,50331.73739699045,0.008083286913580252,7.1849017385111695,8550231.871023033
33,maligno/maligno (13).tif,red,103.16142222222224,58.530245064501614,242058.53697853995,0.009427966419753075,7.156892040934883,36848100.10963128
34,maligno/maligno (14).tif,red,106.03817777777778,58.12016754785395,186239.4436715582,0.006801307654320996,7.430555025389891,32438316.400016345
